close	volumeto	epoch2date
445.28	22225157.27	1461196800
450.08	18998211.55	1461283200
457.56	33984269.34	1461369600
461.73	37614684.81	1461456000
466	31451239.15	1461542400
447.01	41539684.76	1461628800
448.48	36369788.38	1461715200
454.98	20264761.95	1461801600
448.53	15994805.53	1461888000
452.24	9838490.74	1461974400
444.18	32863011.95	1462060800
450.27	22292253.48	1462147200
445.8	17676609.71	1462233600
448.08	18765369.38	1462320000
459.56	31122708.07	1462406400
458.46	14247601.97	1462492800
457.87	12689581.18	1462579200
460.44	22322043.96	1462665600
449.36	27247925.23	1462752000
452.5	18137209.37	1462838400
454.43	22252919.49	1462924800
455.41	14768796.02	1463011200
456.44	9319128.91	1463097600
458.11	9745309.9	1463184000
454.87	16731954.01	1463270400
453.25	15741822.36	1463356800
454.22	14884550.93	1463443200
442.66	26626097.5	1463529600
442.11	21415312.04	1463616000
443.64	10213550.36	1463702400
439.62	12691382.29	1463788800
443.69	15885933.69	1463875200
446.11	14837671.76	1463961600
449.78	16954105.43	1464048000
453.3	17093327.23	1464134400
474.05	63894987.38	1464220800
524.22	75400711.07	1464307200
516.05	80753301.33	1464393600
532.26	41433165.43	1464480000
528.92	60896411.69	1464566400
537.4	38742660.86	1464652800
537.1	28380698.71	1464739200
567.03	59464310.87	1464825600
571.95	50353517.34	1464912000
574.91	37233994.18	1464998400
583.58	37131086.56	1465084800
575.58	49082472.71	1465171200
580.51	28706216.31	1465257600
574.69	28010575.91	1465344000
577.89	26290866.62	1465430400
591.6	24790441.26	1465516800
666.55	139684630.3	1465603200
700.07	149442548.7	1465689600
685.14	92458349.24	1465776000
690.77	53863568.9	1465862400
761.21	169704647	1465948800
743.9	160302360.3	1466035200
753.77	91056993.79	1466121600
761.04	45805980.62	1466208000
733.97	83637617.46	1466294400
667.38	166828425.9	1466380800
590.56	129550795.9	1466467200
620.84	154289129.7	1466553600
656.89	128990817.1	1466640000
663.52	67442141.07	1466726400
625.41	56403088.15	1466812800
644.66	63747137.15	1466899200
644.89	49673830.24	1466985600
636.54	50898093.64	1467072000
670.02	58215062.66	1467158400
674.57	62394480.64	1467244800
698.06	46555796.93	1467331200
661.64	66591456.99	1467417600
675.16	42756935.48	1467504000
663.67	36687264.23	1467590400
672.7	31708100.51	1467676800
635.25	97639342.03	1467763200
662.78	49243011.02	1467849600
651.83	62061207.33	1467936000
647.11	18955766.48	1468022400
646.71	29925667.34	1468108800
670.56	44047499.67	1468195200
661.15	41791464.25	1468281600
657.25	31748496.83	1468368000
664.2	23817856.65	1468454400
660.69	13557557.05	1468540800
676.33	31614610.5	1468627200
670.38	28810844.41	1468713600
671.1	20401885.27	1468800000
664.4	25075066.39	1468886400
664.62	21351309.78	1468972800
651.11	43283429.35	1469059200
655.16	19544654.54	1469145600
659.29	19642346.73	1469232000
654	22564554.46	1469318400
654.38	32177578.58	1469404800
654.54	19568531.49	1469491200
654.13	18452583.66	1469577600
655.43	17757920.48	1469664000
654.74	12721755.54	1469750400
621.87	39918066.14	1469836800
607	41229298.83	1469923200
513.43	75338595.54	1470009600
566.44	47170751.56	1470096000
576.22	25725471.16	1470182400
574.66	15992890.37	1470268800
586.45	14676841.26	1470355200
590.85	15491523.1	1470441600
589.24	14726811.56	1470528000
585.25	15304277.91	1470614400
590.94	29376783.81	1470700800
587.84	23640952.51	1470787200
587.14	15009452.98	1470873600
584.59	11357750.81	1470960000
569.06	18970094.63	1471046400
566.95	19218972.96	1471132800
580.19	21634083.15	1471219200
572.34	18886741.55	1471305600
573.39	17509679.71	1471392000
574.56	14701426.29	1471478400
582.61	13416843.63	1471564800
580.66	8294321.53	1471651200
587.47	19658058.08	1471737600
583.56	18772369.53	1471824000
579.66	16337141.09	1471910400
577.96	18885349.63	1471996800
579.37	12329289.75	1472083200
570.35	10747219.53	1472169600
574.98	7377921.72	1472256000
574.23	13760854.22	1472342400
577.32	15895354.76	1472428800
573.88	14338795.45	1472515200
571.99	14860164.25	1472601600
575.29	15315755.66	1472688000
598.84	21055514.22	1472774400
609.55	18646011.82	1472860800
605.76	15369832.26	1472947200
610.44	14864563.84	1473033600
613.21	18429525.07	1473120000
625.57	22710390.64	1473206400
623.16	17710151.19	1473292800
624.52	9600113.74	1473379200
605.61	22467346.61	1473465600
607.98	17058938.65	1473552000
608.61	16850869.45	1473638400
609.54	14878860.18	1473724800
608.11	13892193.46	1473811200
607.78	13353736.94	1473897600
607.08	9724490.11	1473984000
610.7	10004923.58	1474070400
609.85	12981851.28	1474156800
609.24	13809380.94	1474243200
597.16	22059386.51	1474329600
